zip,month,year,has_zillow,has_redfin,has_acs,has_cbp,has_soi,has_pmms
27006,2000-01-31,2000,False,False,False,False,False,True
27006,2000-02-29,2000,False,False,False,False,False,True
27006,2000-03-31,2000,False,False,False,False,False,True
27006,2000-04-30,2000,False,False,False,False,False,True
27006,2000-05-31,2000,False,False,False,False,False,True
27006,2000-06-30,2000,False,False,False,False,False,True
27006,2000-07-31,2000,False,False,False,False,False,True
27006,2000-08-31,2000,False,False,False,False,False,True
27006,2000-09-30,2000,False,False,False,False,False,True
27006,2000-10-31,2000,False,False,False,False,False,True
27006,2000-11-30,2000,False,False,False,False,False,True
27006,2000-12-31,2000,False,False,False,False,False,True
27006,2001-01-31,2001,False,False,False,False,False,True
27006,2001-02-28,2001,False,False,False,False,False,True
27006,2001-03-31,2001,False,False,False,False,False,True
27006,2001-04-30,2001,False,False,False,False,False,True
27006,2001-05-31,2001,False,False,False,False,False,True
27006,2001-06-30,2001,False,False,False,False,False,True
27006,2001-07-31,2001,False,False,False,False,False,True
27006,2001-08-31,2001,False,False,False,False,False,True
27006,2001-09-30,2001,False,False,False,False,False,True
27006,2001-10-31,2001,False,False,False,False,False,True
27006,2001-11-30,2001,False,False,False,False,False,True
27006,2001-12-31,2001,False,False,False,False,False,True
27006,2002-01-31,2002,False,False,False,False,False,True
27006,2002-02-28,2002,False,False,False,False,False,True
27006,2002-03-31,2002,False,False,False,False,False,True
27006,2002-04-30,2002,False,False,False,False,False,True
27006,2002-05-31,2002,False,False,False,False,False,True
27006,2002-06-30,2002,False,False,False,False,False,True
27006,2002-07-31,2002,False,False,False,False,False,True
27006,2002-08-31,2002,False,False,False,False,False,True
27006,2002-09-30,2002,False,False,False,False,False,True
27006,2002-10-31,2002,False,False,False,False,False,True
27006,2002-11-30,2002,False,False,False,False,False,True
27006,2002-12-31,2002,False,False,False,False,False,True
27006,2003-01-31,2003,False,False,False,False,False,True
27006,2003-02-28,2003,False,False,False,False,False,True
27006,2003-03-31,2003,False,False,False,False,False,True
27006,2003-04-30,2003,False,False,False,False,False,True
27006,2003-05-31,2003,False,False,False,False,False,True
27006,2003-06-30,2003,False,False,False,False,False,True
27006,2003-07-31,2003,False,False,False,False,False,True
27006,2003-08-31,2003,False,False,False,False,False,True
27006,2003-09-30,2003,False,False,False,False,False,True
27006,2003-10-31,2003,False,False,False,False,False,True
27006,2003-11-30,2003,False,False,False,False,False,True
27006,2003-12-31,2003,False,False,False,False,False,True
27006,2004-01-31,2004,False,False,False,False,False,True
27006,2004-02-29,2004,False,False,False,False,False,True
